Unit ID,Call Type,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location
19,E33,Structure Fire,04/12/2000,04/12/2000 10:04:42 PM,04/12/2000 10:04:46 PM,04/12/2000 10:04:58 PM,04/12/2000 10:06:03 PM,04/12/2000 10:08:46 PM,,SF,94112.0,B09,33.0,8374.0,3,3,3,False,1,ENGINE,1.0,9,11,Oceanview/Merced/Ingleside,"(37.7131720494385, -122.459024434517)"
36,E12,Structure Fire,04/12/2000,04/13/2000 12:19:54 AM,04/13/2000 12:29:24 AM,04/13/2000 12:29:35 AM,04/13/2000 12:31:25 AM,04/13/2000 12:32:36 AM,,SF,94117.0,B05,12.0,5151.0,3,3,3,True,1,ENGINE,1.0,5,5,Haight Ashbury,"(37.7651387353822, -122.44763462758)"
75,B04,Structure Fire,04/13/2000,04/13/2000 08:23:42 AM,04/13/2000 08:24:38 AM,04/13/2000 08:24:58 AM,04/13/2000 08:29:52 AM,04/13/2000 08:30:47 AM,,SF,94133.0,B01,2.0,1332.0,3,3,3,False,1,CHIEF,3.0,1,3,Chinatown,"(37.796699717573, -122.408014703843)"
76,E02,Structure Fire,04/13/2000,04/13/2000 08:23:42 AM,04/13/2000 08:24:38 AM,04/13/2000 08:24:58 AM,04/13/2000 08:26:25 AM,04/13/2000 08:27:28 AM,,SF,94133.0,B01,2.0,1332.0,3,3,3,False,1,ENGINE,1.0,1,3,Chinatown,"(37.796699717573, -122.408014703843)"
79,E37,Structure Fire,04/13/2000,04/13/2000 08:39:10 AM,04/13/2000 08:39:12 AM,04/13/2000 08:39:30 AM,04/13/2000 08:40:38 AM,04/13/2000 08:42:21 AM,,SF,94107.0,B10,37.0,2565.0,3,3,3,True,1,ENGINE,1.0,10,10,Potrero Hill,"(37.7521940654679, -122.398452381695)"
83,E01,Structure Fire,04/13/2000,04/13/2000 08:53:31 AM,04/13/2000 08:54:38 AM,04/13/2000 08:54:53 AM,04/13/2000 08:57:10 AM,04/13/2000 09:36:28 AM,,SF,94103.0,B03,27.0,2313.0,3,3,3,False,1,ENGINE,1.0,3,6,South of Market,"(37.7777816676305, -122.406629219771)"
98,E01,Structure Fire,04/13/2000,04/13/2000 10:29:54 AM,04/13/2000 10:34:14 AM,04/13/2000 10:34:24 AM,,04/13/2000 10:36:50 AM,,SF,94103.0,B03,1.0,1322.0,3,3,3,False,1,ENGINE,1.0,1,6,South of Market,"(37.7857439877905, -122.405831012392)"
104,E33,Structure Fire,04/13/2000,04/13/2000 10:49:54 AM,04/13/2000 10:59:36 AM,04/13/2000 11:00:39 AM,04/13/2000 11:01:26 AM,04/13/2000 11:05:30 AM,,SF,94112.0,B09,33.0,6211.0,3,3,3,False,1,ENGINE,1.0,9,11,Excelsior,"(37.7107485232235, -122.447672441304)"
110,E16,Structure Fire,04/13/2000,04/13/2000 11:21:14 AM,04/13/2000 11:21:57 AM,04/13/2000 11:22:35 AM,04/13/2000 11:23:55 AM,04/13/2000 11:24:16 AM,,SF,94123.0,B04,16.0,3341.0,3,3,3,False,1,ENGINE,1.0,4,2,Marina,"(37.8011575150768, -122.429637224953)"
130,E16,Structure Fire,04/13/2000,04/13/2000 12:39:54 PM,04/13/2000 12:42:08 PM,04/13/2000 12:43:03 PM,04/13/2000 12:44:18 PM,04/13/2000 12:46:40 PM,,SF,94109.0,B01,4.0,314.0,3,3,3,False,1,ENGINE,2.0,1,2,Russian Hill,"(37.803363322315, -122.424107741649)"
142,E18,Structure Fire,04/13/2000,04/13/2000 01:29:54 PM,04/13/2000 01:30:19 PM,04/13/2000 01:31:56 PM,04/13/2000 01:33:45 PM,04/13/2000 01:36:10 PM,,SF,94116.0,B08,23.0,7733.0,3,3,3,False,1,ENGINE,1.0,8,4,Sunset/Parkside,"(37.7360956877509, -122.506193981617)"
154,E16,Structure Fire,04/13/2000,04/13/2000 02:09:54 PM,04/13/2000 02:12:27 PM,04/13/2000 02:15:00 PM,04/13/2000 02:18:32 PM,04/13/2000 02:19:59 PM,,SF,94109.0,B04,4.0,3131.0,3,3,3,False,1,ENGINE,1.0,4,3,Russian Hill,"(37.7987615790944, -122.422336952094)"
155,T16,Structure Fire,04/13/2000,04/13/2000 02:09:54 PM,04/13/2000 02:12:27 PM,04/13/2000 02:15:00 PM,,,,SF,94109.0,B04,4.0,3131.0,3,3,3,False,1,TRUCK,2.0,4,3,Russian Hill,"(37.7987615790944, -122.422336952094)"
172,T09,Structure Fire,04/13/2000,04/13/2000 03:09:54 PM,04/13/2000 03:18:28 PM,04/13/2000 03:18:38 PM,04/13/2000 03:19:59 PM,,,SF,94124.0,B10,25.0,6467.0,3,3,3,False,1,TRUCK,2.0,10,10,Bayview Hunters Point,"(37.7387419299442, -122.389310056266)"
178,E42,Structure Fire,04/13/2000,04/13/2000 03:49:54 PM,04/13/2000 03:58:51 PM,04/13/2000 03:59:51 PM,04/13/2000 04:01:05 PM,04/13/2000 04:03:26 PM,,SF,94134.0,B09,42.0,6144.0,3,3,3,True,1,ENGINE,1.0,9,9,Excelsior,"(37.7288759654951, -122.42159661728)"
194,T01,Structure Fire,04/13/2000,04/13/2000 04:19:54 PM,04/13/2000 04:23:32 PM,04/13/2000 04:24:39 PM,04/13/2000 04:25:54 PM,04/13/2000 04:27:22 PM,,SF,94103.0,B03,1.0,2213.0,3,3,3,False,1,TRUCK,1.0,3,6,South of Market,"(37.7844787439707, -122.404266872501)"
228,E36,Structure Fire,04/13/2000,04/13/2000 07:08:24 PM,04/13/2000 07:09:03 PM,04/13/2000 07:09:50 PM,,,,SF,94103.0,B02,6.0,5235.0,3,3,3,False,1,ENGINE,1.0,2,8,Mission,"(37.7647834522541, -122.424102685064)"
248,E03,Structure Fire,04/13/2000,04/13/2000 08:49:54 PM,04/13/2000 08:55:27 PM,04/13/2000 08:56:22 PM,04/13/2000 08:57:24 PM,,,SF,94102.0,B03,3.0,1461.0,3,3,3,True,1,ENGINE,2.0,2,6,Tenderloin,"(37.7848662437379, -122.412782128267)"
249,T03,Structure Fire,04/13/2000,04/13/2000 08:49:54 PM,04/13/2000 08:55:27 PM,04/13/2000 08:56:22 PM,04/13/2000 08:57:37 PM,,,SF,94102.0,B03,3.0,1461.0,3,3,3,True,1,TRUCK,1.0,2,6,Tenderloin,"(37.7848662437379, -122.412782128267)"
282,E10,Structure Fire,04/13/2000,04/13/2000 11:59:48 PM,04/13/2000 11:59:50 PM,04/14/2000 12:00:11 AM,04/14/2000 12:02:43 AM,04/14/2000 12:03:52 AM,,SF,94118.0,B07,10.0,449.0,3,3,3,False,1,ENGINE,1.0,7,2,Presidio Heights,"(37.786210973675, -122.455468425157)"
291,E15,Structure Fire,04/13/2000,04/14/2000 12:55:55 AM,04/14/2000 12:56:30 AM,04/14/2000 12:56:57 AM,,,,SF,94132.0,B08,19.0,8714.0,3,3,3,False,1,ENGINE,8.0,8,7,Lakeshore,"(37.714334813698, -122.492047871678)"
292,E18,Structure Fire,04/13/2000,04/14/2000 12:55:55 AM,04/14/2000 12:56:30 AM,04/14/2000 12:56:57 AM,04/14/2000 12:58:52 AM,04/14/2000 01:02:49 AM,,SF,94132.0,B08,19.0,8714.0,3,3,3,False,1,ENGINE,5.0,8,7,Lakeshore,"(37.714334813698, -122.492047871678)"
293,E19,Structure Fire,04/13/2000,04/14/2000 12:55:55 AM,04/14/2000 12:56:30 AM,04/14/2000 12:56:57 AM,,04/14/2000 01:04:04 AM,,SF,94132.0,B08,19.0,8714.0,3,3,3,False,1,ENGINE,6.0,8,7,Lakeshore,"(37.714334813698, -122.492047871678)"
294,RS2,Structure Fire,04/13/2000,04/14/2000 12:55:55 AM,04/14/2000 12:56:30 AM,04/14/2000 12:56:57 AM,04/14/2000 12:58:57 AM,04/14/2000 01:02:49 AM,,SF,94132.0,B08,19.0,8714.0,3,3,3,False,1,RESCUE SQUAD,4.0,8,7,Lakeshore,"(37.714334813698, -122.492047871678)"
295,T18,Structure Fire,04/13/2000,04/14/2000 12:55:55 AM,04/14/2000 12:56:30 AM,04/14/2000 12:56:57 AM,,04/14/2000 01:04:04 AM,,SF,94132.0,B08,19.0,8714.0,3,3,3,False,1,TRUCK,7.0,8,7,Lakeshore,"(37.714334813698, -122.492047871678)"
297,E25,Structure Fire,04/13/2000,04/14/2000 01:29:50 AM,04/14/2000 01:30:28 AM,04/14/2000 01:30:49 AM,04/14/2000 01:31:28 AM,04/14/2000 01:34:10 AM,,SF,94107.0,B10,25.0,2611.0,3,3,3,False,1,ENGINE,1.0,10,10,Bayview Hunters Point,"(37.7527207422938, -122.389729644539)"
341,E07,Structure Fire,04/14/2000,04/14/2000 08:49:54 AM,04/14/2000 08:54:26 AM,04/14/2000 08:54:41 AM,,04/14/2000 08:57:25 AM,,SF,94110.0,B06,7.0,5455.0,3,3,3,False,1,ENGINE,1.0,6,9,Mission,"(37.7571666434801, -122.416719595074)"
344,E17,Structure Fire,04/14/2000,04/14/2000 08:59:54 AM,04/14/2000 09:03:52 AM,04/14/2000 09:04:23 AM,04/14/2000 09:05:26 AM,04/14/2000 09:06:55 AM,,SF,94124.0,B10,17.0,6641.0,3,3,3,False,1,ENGINE,1.0,10,10,Bayview Hunters Point,"(37.7309011761712, -122.380149049067)"
406,E32,Structure Fire,04/14/2000,04/14/2000 01:35:36 PM,04/14/2000 01:36:37 PM,04/14/2000 01:37:00 PM,,,,SF,94110.0,B06,32.0,5575.0,3,3,3,True,1,ENGINE,1.0,6,9,Bernal Heights,"(37.7422945337206, -122.42328556238)"
413,E33,Structure Fire,04/14/2000,04/14/2000 01:59:54 PM,04/14/2000 02:09:21 PM,04/14/2000 02:09:41 PM,04/14/2000 02:11:20 PM,04/14/2000 02:12:03 PM,,SF,94112.0,B09,33.0,6213.0,3,3,3,True,1,ENGINE,1.0,9,11,Outer Mission,"(37.7088063383308, -122.452664722246)"
436,E15,Structure Fire,04/14/2000,04/14/2000 03:39:54 PM,04/14/2000 03:43:18 PM,04/14/2000 03:43:26 PM,04/14/2000 03:44:19 PM,04/14/2000 03:47:24 PM,,SF,94112.0,B09,43.0,6116.0,3,3,3,False,1,ENGINE,1.0,9,11,Excelsior,"(37.7262362449736, -122.433623592293)"
450,E42,Structure Fire,04/14/2000,04/14/2000 03:59:54 PM,04/14/2000 04:09:25 PM,04/14/2000 04:09:37 PM,04/14/2000 04:10:53 PM,04/14/2000 04:13:25 PM,,SF,94124.0,B10,42.0,6473.0,3,3,3,False,1,ENGINE,1.0,10,10,Bayview Hunters Point,"(37.7326141790568, -122.396865378556)"
451,E43,Structure Fire,04/14/2000,04/14/2000 04:09:54 PM,04/14/2000 04:11:31 PM,04/14/2000 04:12:58 PM,04/14/2000 04:14:08 PM,04/14/2000 04:14:58 PM,,SF,94112.0,B09,43.0,6156.0,3,3,3,False,1,ENGINE,1.0,9,11,Excelsior,"(37.7200903159964, -122.429599155572)"
463,E42,Structure Fire,04/14/2000,04/14/2000 04:39:54 PM,04/14/2000 04:45:13 PM,04/14/2000 04:45:30 PM,04/14/2000 04:47:41 PM,04/14/2000 04:50:48 PM,,SF,94124.0,B10,9.0,6425.0,3,3,3,False,1,ENGINE,1.0,10,10,Bayview Hunters Point,"(37.7421971997796, -122.400426738757)"
469,E43,Structure Fire,04/14/2000,04/14/2000 05:09:54 PM,04/14/2000 05:13:30 PM,04/14/2000 05:15:12 PM,04/14/2000 05:17:06 PM,,,SF,94112.0,B09,15.0,8277.0,3,3,3,False,1,ENGINE,1.0,9,11,Outer Mission,"(37.7227256716177, -122.441430618021)"
470,E32,Structure Fire,04/14/2000,04/14/2000 05:14:09 PM,04/14/2000 05:15:33 PM,04/14/2000 05:16:15 PM,04/14/2000 05:17:10 PM,04/14/2000 05:21:16 PM,,SF,94112.0,B09,43.0,613.0,3,3,3,True,1,ENGINE,2.0,9,11,Excelsior,"(37.7255316247491, -122.429925994016)"
478,E40,Structure Fire,04/14/2000,04/14/2000 05:39:54 PM,04/14/2000 05:43:33 PM,04/14/2000 05:43:45 PM,04/14/2000 05:44:51 PM,04/14/2000 05:46:50 PM,,SF,94116.0,B08,40.0,7415.0,3,3,3,True,1,ENGINE,1.0,8,7,West of Twin Peaks,"(37.7411866396813, -122.475539786188)"
493,E24,Structure Fire,04/14/2000,04/14/2000 06:44:55 PM,04/14/2000 06:46:30 PM,04/14/2000 06:47:22 PM,04/14/2000 06:49:28 PM,04/14/2000 06:51:25 PM,,SF,94114.0,B06,24.0,5463.0,3,3,3,False,1,ENGINE,1.0,6,8,Noe Valley,"(37.7537192224027, -122.44140750664)"
510,E37,Structure Fire,04/14/2000,04/14/2000 07:39:54 PM,04/14/2000 07:44:50 PM,04/14/2000 07:46:49 PM,04/14/2000 07:47:53 PM,04/14/2000 07:49:37 PM,,SF,94107.0,B10,37.0,2615.0,3,3,3,False,1,ENGINE,1.0,10,10,Potrero Hill,"(37.7521940654679, -122.398452381695)"
529,E17,Structure Fire,04/14/2000,04/14/2000 08:29:54 PM,04/14/2000 08:31:39 PM,04/14/2000 08:34:12 PM,04/14/2000 08:35:15 PM,04/14/2000 08:36:24 PM,,SF,94124.0,B10,17.0,6641.0,3,3,3,False,1,ENGINE,1.0,10,10,Bayview Hunters Point,"(37.7309011761712, -122.380149049067)"
531,E06,Structure Fire,04/14/2000,04/14/2000 08:29:54 PM,04/14/2000 08:38:46 PM,04/14/2000 08:39:02 PM,04/14/2000 08:40:21 PM,04/14/2000 08:41:48 PM,,SF,94117.0,B05,21.0,4141.0,3,3,3,False,1,ENGINE,1.0,5,5,Haight Ashbury,"(37.773345711881, -122.43575149873)"
541,E14,Structure Fire,04/14/2000,04/14/2000 09:09:54 PM,04/14/2000 09:18:53 PM,04/14/2000 09:19:46 PM,04/14/2000 09:21:53 PM,04/14/2000 09:22:45 PM,,SF,94121.0,B07,14.0,7245.0,3,3,3,False,1,ENGINE,1.0,7,1,Outer Richmond,"(37.7796883694276, -122.493297257775)"
573,E36,Structure Fire,04/14/2000,04/14/2000 11:29:26 PM,04/14/2000 11:29:51 PM,04/14/2000 11:30:01 PM,04/14/2000 11:31:33 PM,04/14/2000 11:35:53 PM,,SF,94103.0,B02,6.0,5214.0,3,3,3,False,1,ENGINE,1.0,2,8,Mission,"(37.7671451020863, -122.42534582533)"
578,E44,Structure Fire,04/14/2000,04/14/2000 11:49:54 PM,04/14/2000 11:51:30 PM,04/14/2000 11:53:43 PM,04/14/2000 11:55:57 PM,04/14/2000 11:57:15 PM,,SF,94134.0,B10,44.0,6315.0,3,3,3,True,1,ENGINE,1.0,10,10,Visitacion Valley,"(37.7179452414737, -122.405021990261)"
586,B04,Structure Fire,04/14/2000,04/15/2000 12:38:57 AM,04/15/2000 12:39:31 AM,04/15/2000 12:40:20 AM,04/15/2000 12:43:27 AM,04/15/2000 12:46:46 AM,,SF,94108.0,B01,41.0,1446.0,3,3,3,False,1,CHIEF,6.0,1,3,Nob Hill,"(37.7898998860136, -122.411265644258)"
587,D1,Structure Fire,04/14/2000,04/15/2000 12:38:57 AM,04/15/2000 12:39:31 AM,04/15/2000 12:40:20 AM,04/15/2000 12:42:52 AM,04/15/2000 12:45:56 AM,,SF,94108.0,B01,41.0,1446.0,3,3,3,False,1,CHIEF,5.0,1,3,Nob Hill,"(37.7898998860136, -122.411265644258)"
588,E41,Structure Fire,04/14/2000,04/15/2000 12:38:57 AM,04/15/2000 12:39:31 AM,04/15/2000 12:40:20 AM,04/15/2000 12:41:19 AM,04/15/2000 12:43:00 AM,,SF,94108.0,B01,41.0,1446.0,3,3,3,False,1,ENGINE,1.0,1,3,Nob Hill,"(37.7898998860136, -122.411265644258)"
600,E01,Structure Fire,04/14/2000,04/15/2000 01:49:54 AM,04/15/2000 01:58:53 AM,04/15/2000 01:59:24 AM,,,,SF,94107.0,B03,27.0,2253.0,3,3,3,False,1,ENGINE,1.0,3,6,South of Market,"(37.7785051047871, -122.405615267864)"
601,T01,Structure Fire,04/14/2000,04/15/2000 01:49:54 AM,04/15/2000 01:58:53 AM,04/15/2000 01:59:24 AM,,,,SF,94107.0,B03,27.0,2253.0,3,3,3,False,1,TRUCK,2.0,3,6,South of Market,"(37.7785051047871, -122.405615267864)"
605,E32,Structure Fire,04/14/2000,04/15/2000 02:39:54 AM,04/15/2000 02:47:03 AM,04/15/2000 02:47:20 AM,04/15/2000 02:48:52 AM,04/15/2000 02:50:01 AM,,SF,94110.0,B06,32.0,5644.0,3,3,3,True,1,ENGINE,1.0,6,9,Bernal Heights,"(37.7350581299251, -122.420223758713)"
606,E06,Structure Fire,04/14/2000,04/15/2000 02:49:54 AM,04/15/2000 02:50:43 AM,04/15/2000 02:51:02 AM,04/15/2000 02:53:01 AM,04/15/2000 02:54:49 AM,,SF,94117.0,B05,21.0,3632.0,3,3,3,False,1,ENGINE,1.0,5,5,Hayes Valley,"(37.7742331365027, -122.432492947831)"
607,T06,Structure Fire,04/14/2000,04/15/2000 02:49:54 AM,04/15/2000 02:50:43 AM,04/15/2000 02:51:02 AM,04/15/2000 02:53:32 AM,,,SF,94117.0,B05,21.0,3632.0,3,3,3,False,1,TRUCK,2.0,5,5,Hayes Valley,"(37.7742331365027, -122.432492947831)"
622,E03,Structure Fire,04/14/2000,04/15/2000 06:01:11 AM,04/15/2000 06:01:52 AM,04/15/2000 06:02:13 AM,04/15/2000 06:03:45 AM,04/15/2000 06:04:22 AM,,SF,94109.0,B04,3.0,1556.0,3,3,3,True,1,ENGINE,2.0,4,6,Tenderloin,"(37.7863607914644, -122.415616900247)"
626,E25,Structure Fire,04/14/2000,04/15/2000 07:04:13 AM,04/15/2000 07:05:04 AM,04/15/2000 07:05:49 AM,,04/15/2000 07:09:19 AM,,SF,94124.0,B10,25.0,6435.0,3,3,3,False,1,ENGINE,1.0,10,10,Bayview Hunters Point,"(37.7451009983862, -122.392182341286)"
627,E37,Structure Fire,04/14/2000,04/15/2000 07:04:13 AM,04/15/2000 07:05:04 AM,04/15/2000 07:05:49 AM,04/15/2000 07:07:28 AM,,,SF,94124.0,B10,25.0,6435.0,3,3,3,False,1,ENGINE,11.0,10,10,Bayview Hunters Point,"(37.7451009983862, -122.392182341286)"
628,T09,Structure Fire,04/14/2000,04/15/2000 07:04:13 AM,04/15/2000 07:05:04 AM,04/15/2000 07:05:49 AM,04/15/2000 07:08:04 AM,,,SF,94124.0,B10,25.0,6435.0,3,3,3,False,1,TRUCK,10.0,10,10,Bayview Hunters Point,"(37.7451009983862, -122.392182341286)"
652,E02,Structure Fire,04/15/2000,04/15/2000 09:49:54 AM,04/15/2000 09:58:09 AM,04/15/2000 09:58:32 AM,04/15/2000 09:59:07 AM,04/15/2000 10:02:40 AM,,SF,94133.0,B01,28.0,1521.0,3,3,3,False,1,ENGINE,1.0,1,3,North Beach,"(37.8070725139897, -122.417260632444)"
669,E32,Structure Fire,04/15/2000,04/15/2000 10:49:54 AM,04/15/2000 10:56:02 AM,04/15/2000 10:57:03 AM,04/15/2000 10:57:52 AM,04/15/2000 10:59:34 AM,,SF,94112.0,B09,32.0,6113.0,3,3,3,False,1,ENGINE,1.0,9,11,Excelsior,"(37.7287295501651, -122.431293846084)"
698,E32,Structure Fire,04/15/2000,04/15/2000 01:24:33 PM,04/15/2000 01:25:35 PM,04/15/2000 01:25:44 PM,04/15/2000 01:27:21 PM,04/15/2000 01:28:40 PM,,SF,94110.0,B06,11.0,5612.0,3,3,3,False,1,ENGINE,3.0,6,8,Mission,"(37.7487967064237, -122.423129011156)"
700,E07,Structure Fire,04/15/2000,04/15/2000 01:29:54 PM,04/15/2000 01:38:04 PM,04/15/2000 01:38:20 PM,04/15/2000 01:38:35 PM,04/15/2000 01:39:24 PM,,SF,94110.0,B02,7.0,5247.0,3,3,3,False,1,ENGINE,1.0,2,9,Mission,"(37.7632997692, -122.421731523653)"
740,E44,Structure Fire,04/15/2000,04/15/2000 04:10:19 PM,04/15/2000 04:10:50 PM,04/15/2000 04:10:58 PM,04/15/2000 04:15:24 PM,04/15/2000 04:16:08 PM,,SF,94124.0,B10,44.0,6544.0,3,3,3,True,1,ENGINE,1.0,10,10,Bayview Hunters Point,"(37.7217158813579, -122.395943827693)"
